uid,no,module,item_cn,item_en,type,level,icon,route
1,A.1,能源管理運營平台,案場戰情看板,Dashboard,f,1,Apps,energy/Dashboard
2,A.1.1,能源管理運營平台,全區案場分佈,Power Work Station Area,f,2,Public,energy/Dashboard
3,A.1.2,能源管理運營平台,案場數據分析,Power Station Analysis,f,2,Analytics,energy/site/SiteManagement
4,A.1.2.1,能源管理運營平台,案場監控管理,Power Station Monitoring,sf,3,Engineering,energy/site/SiteEquipmentList
5,A.1.2.2,能源管理運營平台,案場基本資料,Field Base Information,sf,3,Engineering,energy/site/SiteBasicSettings
6,A.1.3,能源管理運營平台,案場即時監控,Filed Monitoring,f,2,PhotoCameraFront,
7,A.1.4,能源管理運營平台,碳排指數分析,Carbon Indicator Analysis,f,2,Co2,
8,A.1.5,能源管理運營平台,電力調度,Power Dispatch,f,2,EvStation,
9,A.1.6,能源管理運營平台,維修排配,Maintenance Plan,f,2,Engineering,
10,A.2,能源管理運營平台,資料維護,,f,1,Dataset,
11,A.2.1,能源管理運營平台,場域地圖,,f,2,Map,
12,A.2.2,能源管理運營平台,案場基本資料,,f,2,MapsHomeWork,
13,A.2.3,能源管理運營平台,設備資料,,f,2,PrecisionManufacturing,
14,A.2.4,能源管理運營平台,合約管理,,f,2,Summarize,
15,B.1,企業節能運營平台,經營看板,,f,1,Dashboard,
16,B.1.1,企業節能運營平台,碳足跡監控儀表盤,,f,2,DataThresholding,
17,B.1.2,企業節能運營平台,廠區大樓節能管理,,f,2,CorporateFare,
18,B.1.3,企業節能運營平台,設備節能監控,,f,2,Camera,
19,B.1.4,企業節能運營平台,每日進料碳排監控,,f,2,ProductionQuantityLimits,
20,B.1.5,企業節能運營平台,異常管理,,f,2,NearbyError,
21,B.2,企業節能運營平台,碳足跡數據管理,,f,1,Co2,
22,B.2.1,企業節能運營平台,每日耗能統計,,f,2,EventAvailable,
23,B.2.2,企業節能運營平台,採購來料碳足跡,,f,2,ShoppingCart,
24,B.2.3,企業節能運營平台,員工碳足跡,,f,2,People,
25,B.2.4,企業節能運營平台,生產碳足跡,,f,2,TravelExplore,
26,B.2.5,企業節能運營平台,專案碳足跡,,f,2,AccountTree,
27,B.2.6,企業節能運營平台,產品,,f,2,Inventory,
28,B.3,企業節能運營平台,碳盤查與報告,,f,1,playlist_add_check_circle,
29,B.3.1,企業節能運營平台,一般性碳盤查,,f,2,Description,
30,B.3.2,企業節能運營平台,專案碳盤查,,f,2,Grading,
31,B.3.3,企業節能運營平台,碳額度統計分析,,f,2,WaterfallChart,
32,B.3.4,企業節能運營平台,綠電/綠憑證,,f,2,SolarPower,
33,B.3.5,企業節能運營平台,購買碳額,,f,2,Co2,
34,B.3.6,企業節能運營平台,其他減排專案,,f,2,WindPower,
35,B.4,企業節能運營平台,基本資料維護,,f,1,Lan,
36,B.4.1,企業節能運營平台,廠區、組織架構,,f,2,CorporateFare,
37,B.4.2,企業節能運營平台,設備器具能耗、碳足跡維護,,f,2,HomeRepairService,
38,B.4.3,企業節能運營平台,能源來源碳指標,,f,2,DragIndicator,
39,B.4.4,企業節能運營平台,專案碳指標,,f,2,Category,
40,B.4.5,企業節能運營平台,電錶/感應器,,f,2,Calculate,
41,C.1.1,能源碳資產服務平台,開發中,,f,1,PausePresentation,
42,X.1,公用模組,系統設置,,f,1,Settings,
43,X.1.1,公用模組,賬戶管理,,f,2,Person,
44,X.1.2,公用模組,角色管理,,f,2,Workspaces,
45,X.1.3,公用模組,功能管理,Funcion List,f,2,ListAlt,system/FunctionList
46,X.1.4,公用模組,授權管理,,f,2,Security,
47,X.1.5,公用模組,信息管理,,f,2,Notifications,
48,X.1.6,公用模組,系統服務管理,,f,2,MiscellaneousServices,
